ch_name,mal_id,mal_title,img_url
境界的彼方,18153,Kyoukai no Kanata,https://cdn.myanimelist.net/images/anime/3/85468.jpg
Love Live! 電影,24997,Love Live! The School Idol Movie,https://cdn.myanimelist.net/images/anime/6/75700.jpg
房間露營,38476,Heya Camp△,https://cdn.myanimelist.net/images/anime/1228/104364.jpg
Love Live! 第一季,15051,Love Live! School Idol Project,https://cdn.myanimelist.net/images/anime/11/56849.jpg
笨蛋，測驗，召喚獸,6347,Baka to Test to Shoukanjuu,https://cdn.myanimelist.net/images/anime/3/50389.jpg
劇場版 來自深淵 深沉靈魂的黎明,36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://cdn.myanimelist.net/images/anime/1803/117183.jpg
輝夜姬想讓人告白 ー超級浪漫ー,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg
我們仍未知道那天所看見的花名。,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://cdn.myanimelist.net/images/anime/5/79697.jpg
搖曳露營△ 第二季,38474,Yuru Camp△ Season 2,https://cdn.myanimelist.net/images/anime/1255/110636.jpg
Princess Principal,35240,Princess Principal,https://cdn.myanimelist.net/images/anime/7/86768.jpg
與變成了異世界美少女的大叔一起冒險,48997,Fantasy Bishoujo Juniku Ojisan to,https://cdn.myanimelist.net/images/anime/1430/120065.jpg
來自深淵,34599,Made in Abyss,https://cdn.myanimelist.net/images/anime/6/86733.jpg
請問您今天要來點兔子嗎？～Sing For You～,38333,Gochuumon wa Usagi desu ka?? Sing for You,https://cdn.myanimelist.net/images/anime/1684/101030.jpg
天地創造設計部,41762,Tenchi Souzou Design-bu,https://cdn.myanimelist.net/images/anime/1339/113938.jpg
路人超能 100 第二季,37510,Mob Psycho 100 II,https://cdn.myanimelist.net/images/anime/1918/96303.jpg
路人超能 100,32182,Mob Psycho 100,https://cdn.myanimelist.net/images/anime/8/80356.jpg
JOJO 的奇妙冒險 黃金之風,37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://cdn.myanimelist.net/images/anime/1882/94989.jpg
SHADOWS HOUSE-影宅-,43439,Shadows House,https://cdn.myanimelist.net/images/anime/1424/113342.jpg
JOJO 的奇妙冒險 不滅鑽石,31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://cdn.myanimelist.net/images/anime/3/79156.jpg
JOJO 的奇妙冒險 星塵遠征軍 埃及篇,26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,https://cdn.myanimelist.net/images/anime/11/75045.jpg
JOJO 的奇妙冒險 星塵遠征軍,20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,https://cdn.myanimelist.net/images/anime/11/55267.jpg
JOJO 的奇妙冒險,14719,JoJo no Kimyou na Bouken (TV),https://cdn.myanimelist.net/images/anime/3/40409.jpg
前輩有夠煩,42351,Senpai ga Uzai Kouhai no Hanashi,https://cdn.myanimelist.net/images/anime/1055/118890.jpg
隱瞞之事,40716,Kakushigoto,https://cdn.myanimelist.net/images/anime/1048/128385.jpg
幼女戰記,32615,Youjo Senki,https://cdn.myanimelist.net/images/anime/5/82890.jpg
漫畫家與助手,21863,Mangaka-san to Assistant-san to The Animation,https://cdn.myanimelist.net/images/anime/11/62219.jpg
工作細胞,37141,Hataraku Saibou,https://cdn.myanimelist.net/images/anime/1141/117446.jpg
Code Geass 反叛的魯路修 R2,2904,Code Geass: Hangyaku no Lelouch R2,https://cdn.myanimelist.net/images/anime/1088/135089.jpg
Code Geass 反叛的魯路修,1575,Code Geass: Hangyaku no Lelouch,https://cdn.myanimelist.net/images/anime/1032/135088.jpg
動物朋友,33089,Kemono Friends,https://cdn.myanimelist.net/images/anime/2/83518.jpg
奇巧計程車,46102,Odd Taxi,https://cdn.myanimelist.net/images/anime/1981/113348.jpg
這個勇者明明超 TUEEE 卻過度謹慎！,38659,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,https://cdn.myanimelist.net/images/anime/1715/103419.jpg
達爾文遊戲,38656,Darwin's Game,https://cdn.myanimelist.net/images/anime/1016/107222.jpg
齊木楠雄的災難,33255,Saiki Kusuo no Ψ-nan,https://cdn.myanimelist.net/images/anime/1973/142750.jpg
